headline_1_words,headline_1_count,pros_1_words,pros_1_count,cons_1_words,cons_1_count,headline_2_words,headline_2_count,pros_2_words,pros_2_count,cons_2_words,cons_2_count,headline_3_words,headline_3_count,pros_3_words,pros_3_count,cons_3_words,cons_3_count,headline_4_words,headline_4_count,pros_4_words,pros_4_count,cons_4_words,cons_4_count,headline_5_words,headline_5_count,pros_5_words,pros_5_count,cons_5_words,cons_5_count
work,813,good,2246,work,2851,good,965,good,3505,work,2762,good,6026,good,12073,work,6339,good,13457,good,19656,work,8665,great,15100,work,16260,work,6802
company,596,work,1312,management,2788,work,818,work,2046,management,2585,work,3018,work,7276,management,4114,great,9246,work,14258,hours,5448,work,11311,good,16093,hours,4534
management,418,people,773,people,1484,great,508,people,1315,pay,1392,great,2261,great,4722,hours,3461,work,8716,great,11672,long,4106,company,9408,great,16062,cons,4422
good,414,great,640,pay,1251,company,502,great,1311,hours,1242,company,2187,people,3840,pay,3088,company,6751,people,6322,pay,3349,place,8304,people,6787,long,3515
bad,406,none,616,company,1230,management,474,benefits,926,people,1108,place,1871,benefits,2836,long,2395,place,6362,benefits,5351,balance,3345,good,7873,culture,6545,none,3254
worst,394,pay,594,staff,1099,poor,407,nice,798,poor,1071,job,1371,pay,2235,balance,2207,job,1752,culture,4834,management,3256,best,2582,company,6307,nothing,2955
place,384,nice,565,managers,1049,place,379,pay,760,managers,948,ok,1189,nice,2009,low,2160,experience,1699,environment,4465,salary,2992,culture,1741,benefits,5670,company,2912
poor,313,company,544,get,1031,job,373,job,585,get,866,experience,901,flexible,2003,salary,2119,culture,1422,opportunities,4216,life,2702,amazing,1588,environment,5058,working,2584
terrible,300,benefits,502,hours,953,bad,362,flexible,577,company,861,bad,763,environment,1962,life,1876,career,1317,company,4025,working,2589,job,1430,opportunities,4392,sometimes,2485
culture,292,nothing,464,employees,934,ok,290,working,577,staff,841,review,729,company,1955,poor,1809,working,1059,balance,3966,get,2447,excellent,1363,balance,4265,think,2412
avoid,254,pros,459,poor,926,pay,267,company,532,bad,777,okay,690,working,1940,much,1729,nice,1035,working,3570,low,2293,experience,1260,working,3680,time,2129
awful,248,free,452,like,887,experience,265,hours,497,low,752,pay,682,balance,1788,get,1710,review,1020,pay,3303,much,2287,working,959,team,3594,balance,1974
job,230,working,445,bad,852,culture,261,free,478,long,738,decent,622,opportunities,1786,people,1708,people,998,flexible,3251,company,2225,career,912,life,3465,good,1965
